Busca,Tempo,Máximo de nós simultâneos na memória,Número de nós expandidos,Número de nós comida expandidos,Número de nós no caminho,Número de nós comida no caminho,Goal
Hill-Climbing  - Manhattan,0.14313817024230957,2,19,19,19,19,0
Hill-Climbing  - Ghost Avoidance Euclidean,0.18373703956604004,1,34,21,34,21,0
Hill-Climbing  - Wavefront,0.6427896022796631,2,103,85,104,86,1
Simulated Annealing  - Wavefront,9.200192213058472,1,2001,1849,599,481,0
BFS,9.335270404815674,58,2527,1997,87,69,1
DFS,10.235167980194092,591,2655,2021,1143,838,1
Greedy Search - Manhattan,0.6500372886657715,56,156,76,133,71,1
A* Search - Manhattan,24.60542368888855,269,4755,4081,147,143,1
Greedy Search - Ghost Avoidance Euclidean,23.410686254501343,225,5633,4314,511,392,1
A* Search - Ghost Avoidance Euclidean,21.43228244781494,292,5044,4099,183,179,1
A* Search - Wavefront Heuristic,26.708362579345703,259,4756,4081,147,143,1
Greedy Search - Wavefront Heuristic,0.4206709861755371,45,86,68,87,69,1
Hill-Climbing  - Manhattan,0.10096335411071777,2,9,9,9,9,0
Hill-Climbing  - Ghost Avoidance Euclidean,0.047064781188964844,1,9,9,9,9,0
Hill-Climbing  - Wavefront,0.3907351493835449,2,86,68,87,69,1
Simulated Annealing  - Wavefront,6.493274927139282,1,2001,1956,609,569,0
